x√‡				y√‡				z√‡				translation							
x	y	z		x	y	z		x	y	z		x	y	z			∞ˆ(x√‡∞˙ y√‡)	∞ˆ(y√‡∞˙ z√‡)	∞ˆ(z√‡∞˙ x√‡)
-0.8876	-0.10654	0.448124	0	-0.457513	0.0912	-0.884514	0	0.053367	-0.990117	-0.129693	0	-0.370435	1.711423	-0.257169	1		0 	0 	0 
-0.700352	0.296764	0.649182	0	-0.615598	0.209243	-0.759774	0	-0.361311	-0.931745	0.036144	0	-0.144962	1.63115	-0.37933	1		0 	0 	0 
-0.518875	0.475334	0.710512	0	-0.591495	0.400432	-0.699848	0	-0.617173	-0.783398	0.073384	0	-0.017283	1.491028	-0.428735	1		0 	0 	0 
-0.076755	0.621669	0.77951	0	-0.370497	0.708052	-0.601161	0	-0.925657	-0.334948	0.17598	0	-0.006566	1.174242	-0.490615	1		0 	0 	0 
0.026279	0.483329	0.875044	0	0.152514	0.863161	-0.481345	0	-0.987952	0.146106	-0.051031	0	-0.151266	0.864303	-0.455917	1		0 	0 	0 
-0.627768	0.332844	0.703649	0	0.289269	0.938986	-0.186091	0	-0.722655	0.086722	-0.685747	0	-0.488076	0.824937	-0.35824	1		0 	0 	0 
-0.98525	-0.037446	-0.166974	0	0.041564	0.894174	-0.445785	0	0.165997	-0.44615	-0.879429	0	-0.784114	1.065385	-0.171873	1		0 	0 	0 
-0.976068	-0.212237	-0.047403	0	-0.069904	0.512622	-0.855764	0	0.205925	-0.83197	-0.51519	0	-0.805716	1.441734	-0.168532	1		0 	0 	0 
-0.978813	-0.093429	0.182198	0	-0.199457	0.233932	-0.951574	0	0.046283	-0.967753	-0.247611	0	-0.653091	1.619198	-0.280535	1		0 	0 	0 
-0.920558	0.081919	0.38192	0	-0.360866	0.195853	-0.911821	0	-0.149495	-0.977206	-0.150732	0	-0.493354	1.662623	-0.366871	1		0 	0 	0 
-0.782154	0.367564	0.503121	0	-0.40605	0.311778	-0.859021	0	-0.472608	-0.87618	-0.094609	0	-0.290599	1.490644	-0.42517	1		0 	0 	0 
-0.969621	0.046513	0.24015	0	-0.217965	0.281322	-0.934531	0	-0.111027	-0.958485	-0.262638	0	-0.562673	1.504757	-0.310271	1		0 	0 	0 
-0.878544	0.206524	0.430706	0	-0.361706	0.301286	-0.882267	0	-0.311975	-0.9309	-0.189992	0	-0.43736	1.456586	-0.376679	1		0 	0 	0 
-0.832253	0.250924	0.494361	0	-0.389785	0.369266	-0.843629	0	-0.394237	-0.894807	-0.209516	0	-0.408145	1.406538	-0.391148	1		0 	0 	0 
-0.732685	0.330573	0.59489	0	-0.430808	0.451403	-0.781434	0	-0.526856	-0.828829	-0.188323	0	-0.352367	1.351574	-0.433519	1		0 	0 	0 
-0.59478	0.425915	0.681786	0	-0.460311	0.514865	-0.723207	0	-0.659052	-0.743983	-0.110178	0	-0.279059	1.292138	-0.486194	1		0 	0 	0 
-0.639234	0.301737	0.707344	0	-0.529606	0.494186	-0.689418	0	-0.557582	-0.815313	-0.156099	0	-0.352654	1.301878	-0.510004	1		0 	0 	0 
-0.772181	0.19303	0.605373	0	-0.415246	0.567837	-0.710726	0	-0.480945	-0.800188	-0.358318	0	-0.443937	1.274375	-0.448427	1		0 	0 	0 
-0.570366	0.283825	0.770795	0	-0.505948	0.617851	-0.601894	0	-0.64707	-0.733282	-0.208801	0	-0.302545	1.177066	-0.50172	1		0 	0 	0 
-0.900119	0.084727	0.427326	0	-0.186624	0.811349	-0.553972	0	-0.393647	-0.578389	-0.714498	0	-0.529049	1.051473	-0.323291	1		0 	0 	0 
-0.966966	0.053074	0.249319	0	-0.122692	0.760426	-0.637729	0	-0.223435	-0.647252	-0.728795	0	-0.609008	1.094187	-0.272513	1		0 	0 	0 
-0.983104	0.022173	0.181699	0	-0.128018	0.626212	-0.769071	0	-0.130835	-0.779338	-0.612793	0	-0.658387	1.18769	-0.252553	1		0 	0 	0 
-0.987647	0.026089	0.154507	0	-0.120646	0.502592	-0.856064	0	-0.099988	-0.86413	-0.493236	0	-0.679251	1.269287	-0.252352	1		0 	0 	0 
